"RFID","BARCODE","NAME","QTY ON HAND","BUY PRICE","SELL PRICE","CATEGORY","BARCODE TYPE","BATCH NUMBER"
"1A400031268748F000010140","(AUTO-ASSIGN)","TR CONCENTRATES CHEM BOSS",20,14,40,"CANNIBIS","USER","022017i"
"1A40003126874B6000003040","00022","MARY'S THC SATIVA PATCH",0,5,12,"CANNIBIS","USER","3040"
"1A4000312687499000010509","019962556937","BLUE KUDU ISLE OF CAPRI",17,9.5,25,"CANNIBIS","USER","H10023127R"
"1A4000312687499000010505","019962557132","BLUE KUDU ZEN GARDEN",14,9.5,25,"CANNIBIS","USER","CA10023129R"
"1A4000312687499000010506","019962557231","BLUE KUDU JUNGLE ROAST",14,9.5,25,"CANNIBIS","USER","COF10023128R"
"1A4000312687499000010508","019962557330","BLUE KUDU TIERRA DEL SOL",5,9.5,25,"CANNIBIS","USER","CH10023108R"
"1A4000312687499000010511","019962557439","BLUE KUDU MESA SKYLINE",23,9.5,25,"CANNIBIS","USER","TA10023103R"
"1A4000312687499000010512","019962557538","BLUE KUDU 10MG ALPINE GLACIER",2,2.5,6,"CANNIBIS","USER","M101R"
"1A4000312687499000010510","019962557637","BLUE KUDU CRATERS OF THE MOON",7,9.5,25,"CANNIBIS","USER","CC10023106R"
"1A4000312687499000010513","019962557736","BLUE KUDU CBD BLACK FOREST",5,9.5,35,"CANNIBIS","USER","BLKC202R"
"1A4000312687499000010504","019962557835","BLUE KUDU CANYON LANDS",17,9.5,25,"CANNIBIS","USER","PBC109R"
"1A400031268754A000000687","10000005","FORIA 5ML",12,11,25,"CANNIBIS","USER","0481"
"1A400031268754A000000686","10000006","FORIA 10ML",13,19,45,"CANNIBIS","USER","0481"
"4657982167651","10000007","FORIA 10ML",13,19,45,"CANNIBIS","USER","000"
"1A40003126874A5000009578","10000010","G.K. HONEY LEMON CHILL PILLS",51,7.5,20,"CANNIBIS","USER","ICP526R1042816"
"1A40003126874A5000009579","10000011","G.K. SPEARMINT CHILL PILLS",238,7.5,20,"CANNIBIS","USER","SCP526R041216"
"1A40003126874EF000001760","10000012","SWEET 500MG CARTRIDGE HYBRID",1,25,75,"CANNIBIS","USER","1A40003126674EF00000"
