"RFID","BARCODE","NAME","QTY ON HAND","BUY PRICE","SELL PRICE","CATEGORY","SUBCAT_COD","BARCODE TYPE","BATCH NUMBER"
"1A400031268748F000010140","(AUTO-ASSIGN)","TR CONCENTRATES CHEM BOSS",20,14,40,"CANNIBIS","CONC","USER","022017i"
"1A40003126874B6000003040","00022","MARY'S THC SATIVA PATCH",10,5,12,"CANNIBIS","TOPICALS","USER","3040"
"1A4000312687499000010509","019962556937","BLUE KUDU ISLE OF CAPRI",5,9.5,25,"CANNIBIS","EDIBLES","USER","H10023127R"
"1A4000312687499000010505","019962557132","BLUE KUDU ZEN GARDEN",0,9.5,25,"CANNIBIS","EDIBLES","USER","CA10023129R"
"1A4000312687499000010506","019962557231","BLUE KUDU JUNGLE ROAST",4,9.5,25,"CANNIBIS","EDIBLES","USER","COF10023128R"
"1A4000312687499000010508","019962557330","BLUE KUDU TIERRA DEL SOL",7,9.5,25,"CANNIBIS","EDIBLES","USER","CH10023108R"
"1A4000312687499000010511","019962557439","BLUE KUDU MESA SKYLINE",11,9.5,25,"CANNIBIS","EDIBLES","USER","TA10023103R"
"1A4000312687499000010512","019962557538","BLUE KUDU 10MG ALPINE GLACIER",2,2,6,"CANNIBIS","EDIBLES","USER","M101R"
"1A4000312687499000010510","019962557637","BLUE KUDU CRATERS OF THE MOON",15,9.5,25,"CANNIBIS","EDIBLES","USER","CC10023106R"
"1A4000312687499000010513","019962557736","BLUE KUDU CBD BLACK FOREST",12,7,35,"CANNIBIS","EDIBLES","USER","BLKC202R"
"1A4000312687499000010504","019962557835","BLUE KUDU CANYON LANDS",15,9.5,25,"CANNIBIS","EDIBLES","USER","PBC109R"
"1A40003126874B3000032652","045635072909","MAGIC BUZZ BUZZIN'",-2,3.5,8,"CANNIBIS","EDIBLES","USER","32652"
"1A40003126874B3000032652","045635072916","MAGIC BUZZ CHILLIN'",0,3.5,8,"CANNIBIS","EDIBLES","USER","32652"
"1A40003126874B3000032652","045635072923","MAGIC BUZZ SNOOZIN'",1,3.5,8,"CANNIBIS","EDIBLES","USER","32652"
"1A400031268754A000000687","10000005","FORIA 5ML",1,11,25,"CANNIBIS","TOPICALS","USER","0481"
"1A400031268754A000000686","10000006","FORIA 10ML",0,19,45,"CANNIBIS","TOPICALS","USER","0481"
"4657982167651","10000007","FORIA 10ML",0,19,45,"CANNIBIS","TOPICALS","USER","000"
"1A40003126874F7000004239","10000008","FANCY EPSOM SALT SOAK",1,0,30,"CANNIBIS","TOPICALS","USER","1383"
"1A40003126874F7000004238","10000009","FANCY MASSAGE OIL",2,0,50,"CANNIBIS","TOPICALS","USER","1382"
