Manifest,Origin Lic.,Origin Facility,Origin Facility Type,Dest. Lic.,Destination Facility,Dest. Facility Type,Type,Created,Created by User,Received,Received by User,Package,State,Item,Item Category,Shipper Dollar Amount,Receiver Dollar Amount,Actual Ship'd,UoM,Actual Rcv'd,UoM,Count Ship'd,UoM,Count Rcv'd,UoM,Weight Ship'd,UoM,Weight Rcv'd,UoM
0000020994,404R-00014,DR J's LLC,Retail MIP,402R-00176,KARING KIND LLC,Retail Store,Wholesale,2/21/2014 9:30:08 PM +00:00,Thomas Sterlacci,2/23/2014 5:44:09 PM +00:00,Danielle Donaldson,1A400031268748E000000095,Accepted,Infused Edibles,Infused (edible),,,80.0000,ea,80.0000,ea,80.00000000,ea,80.00000000,ea,0.00000000,lb,0.00000000,lb
0000021012,404R-00016,CAREGIVERS FOR LIFE LLC,Retail MIP,402R-00176,KARING KIND LLC,Retail Store,Transfer,2/21/2014 7:37:50 PM +00:00,Nicole Baker,2/23/2014 5:44:03 PM +00:00,Danielle Donaldson,1A4000312687490000000029,Accepted,EDIBLE,Infused (edible),,,140.0000,ea,140.0000,ea,140.00000000,ea,140.00000000,ea,0.00000000,lb,0.00000000,lb
0000021328,404R-00012,MEDICALLY CORRECT LLC,Retail MIP,402R-00176,KARING KIND LLC,Retail Store,Wholesale,2/22/2014 6:48:49 PM +00:00,Yvonne Pena,2/23/2014 5:44:14 PM +00:00,Danielle Donaldson,1A400031268748C000000019,Accepted,Parcel - incredibles bars shipped,Infused (edible),,,180.0000,ea,180.0000,ea,180.00000000,ea,180.00000000,ea,0.00000000,lb,0.00000000,lb
0000023719,404R-00017,GREEN CROSS COLORADO LLC,Retail MIP,402R-00176,KARING KIND LLC,Retail Store,Transfer,2/26/2014 4:49:25 PM +00:00,Chad Wittman,2/27/2014 12:00:17 AM +00:00,Danielle Donaldson,1A4000312687491000000199,Accepted,Finished Rec Edipure product,Infused (edible),,,312.0000,ea,312.0000,ea,312.00000000,ea,312.00000000,ea,0.00000000,lb,0.00000000,lb
0000025775,404R-00014,DR J's LLC,Retail MIP,402R-00176,KARING KIND LLC,Retail Store,Wholesale,2/28/2014 6:03:32 PM +00:00,Thomas Sterlacci,2/28/2014 8:09:48 PM +00:00,Danielle Donaldson,1A400031268748E000000125,Accepted,Infused Edibles,Infused (edible),,,400.0000,ea,400.0000,ea,400.00000000,ea,400.00000000,ea,0.00000000,lb,0.00000000,lb
0000025854,404R-00016,CAREGIVERS FOR LIFE LLC,Retail MIP,402R-00176,KARING KIND LLC,Retail Store,Wholesale,2/28/2014 5:07:29 PM +00:00,Nicole Baker,2/28/2014 8:09:37 PM +00:00,Danielle Donaldson,1A4000312687490000000046,Accepted,EDIBLE,Infused (edible),,,200.0000,ea,200.0000,ea,200.00000000,ea,200.00000000,ea,0.00000000,lb,0.00000000,lb
0000028468,404R-00014,DR J's LLC,Retail MIP,402R-00176,KARING KIND LLC,Retail Store,Wholesale,3/5/2014 6:31:53 PM +00:00,Thomas Sterlacci,3/5/2014 10:14:12 PM +00:00,Danielle Donaldson,1A400031268748E000000134,Accepted,Infused Edibles,Infused (edible),,,1250.0000,ea,1250.0000,ea,1250.00000000,ea,1250.00000000,ea,0.00000000,lb,0.00000000,lb
0000029133,404R-00016,CAREGIVERS FOR LIFE LLC,Retail MIP,402R-00176,KARING KIND LLC,Retail Store,Wholesale,3/6/2014 4:39:13 PM +00:00,Nicole Baker,3/7/2014 3:03:45 AM +00:00,Danielle Donaldson,1A4000312687490000000063,Accepted,EDIBLE,Infused (edible),,,160.0000,ea,160.0000,ea,160.00000000,ea,160.00000000,ea,0.00000000,lb,0.00000000,lb
0000030376,404R-00040,KARING KIND LLC,Retail MIP,402R-00176,KARING KIND LLC,Retail Store,Transfer,3/7/2014 10:51:21 PM +00:00,Danielle Donaldson,3/7/2014 10:51:35 PM +00:00,Danielle Donaldson,1A40003126874A8000000003,Accepted,co2 nectar,Concentrate,,,73.2500,g,73.2500,g,0.00000000,ea,0.00000000,ea,0.16148861,lb,0.16148861,lb
0000032045,404R-00016,CAREGIVERS FOR LIFE LLC,Retail MIP,402R-00176,KARING KIND LLC,Retail Store,Wholesale,3/11/2014 4:30:01 PM +00:00,Nicole Baker,3/12/2014 4:06:47 PM +00:00,Danielle Donaldson,1A4000312687490000000081,Accepted,EDIBLE,Infused (edible),,,150.0000,ea,150.0000,ea,150.00000000,ea,150.00000000,ea,0.00000000,lb,0.00000000,lb
