MJ Item Id,MJ Item,Vendor,Cost,Price,UofM,Quantity,Category,Description,Bin #,Reference,Barcode,RFID,Web,Web Price
362614,Blue Dream 1.0g Sample 0078,Arkannabis Farms LLC,$0.01 ,$0.01 ,g,1,Cannabis,1.0g sample,,,,1A400031266F0DE000000078,Yes,Current
362612,Blue Nina 1.0g Sample 0085,Arkannabis Farms LLC,$0.01 ,$0.01 ,g,1,Cannabis,1.0g sample,,,,1A400031266F0DE000000085,Yes,Current
362611,Gorilla Glue 1.0g Sample 0066,Arkannabis Farms LLC,$0.01 ,$0.01 ,g,1,Cannabis,1.0g sample,,,,1A400031266F0DE000000066,Yes,Current
362615,Guptilla 1.0g Sample 0101,Arkannabis Farms LLC,$0.01 ,$0.01 ,g,1,Cannabis,sample bud,,,,1A400031266F0DE000000101,Yes,Current
362616,Iron Triangle OG 1.0g Sample 0056,Arkannabis Farms LLC,$0.01 ,$0.01 ,g,1,Cannabis,1.0g sample,,,,1A400031266F0DE000000056,Yes,Current
362613,Loud Scout 1.0g Sample 0103,Arkannabis Farms LLC,$0.01 ,$0.01 ,g,1,Cannabis,1.0g sample,,,,1A400031266F0DE000000103,Yes,Current
363617,Alpine Glacier 100mg 25307,Blue Kudu,$9.50 ,$19.99 ,ea.,10,Infused Edible,100mg chocolate,,,'9925307,1A4000312687499000025307,Yes,Current
363618,Blu Kudu Samples 25279,Blue Kudu,$0.01 ,$0.01 ,ea.,4,Infused Edible,100mg samples,,,,1A4000312687499000025279,Yes,Current
352663,Canyon Lands 100mg 19231,Blue Kudu,$0.01 ,$19.99 ,ea.,12,Infused Edible,100mg chocolates,,,'9919231,1A4000312687499000019231,Yes,Current
362292,Isle of Capri 100mg 24604,Blue Kudu,$9.50 ,$19.99 ,ea.,19,Infused Edible,100mg chocolate,,,'9924604,1A4000312687499000024604,Yes,Current
363616,Zen Garden 100mg 25306,Blue Kudu,$9.50 ,$19.99 ,ea.,10,Infused Edible,100mg chocolate,,,'9925306,1A4000312687499000025306,Yes,Current
332541,SS Silverback 10982,Bolder Cannabis,$18.00 ,$40.00 ,g,...,Infused Non Edible,Bolder wax,,,,1A40003126874A6000010982,Yes,Current
348806,Bruce Banner shatter 1.0g 16799,Bolder Extracts,$18.00 ,$35.99 ,g,5,Infused Non Edible,1.0 indica shatter,,,A616799,1A40003126874A60000016799,Yes,Current
354133,Distortion wax 1.0g 18153,Bolder Extracts,$10.00 ,$31.99 ,g,2,Infused Non Edible,1.0g wax,,,A618153,1A40003126874A6000018153,Yes,Current
354141,Fridaze wax 1.0g 18155,Bolder Extracts,$10.00 ,$31.99 ,g,2,Infused Non Edible,1.0g wax,,,A618155,1A40003126874A6000018155,Yes,Current
342707,Green C 0.5g LR 14975,Bolder Extracts,$12.00 ,$0.00 ,g,0.5,Infused Non Edible,0.5g live resin,,,,1A40003126874A6000014975,Yes,Current
362658,Asst. Fruity Pucks 100mg 78803,CannaPunch,$10.00 ,$19.99 ,ea.,10,Infused Edible,100mg gummies,,,'9178803,1A4000312687491000078803,Yes,Current
362656,Black Cherry 100mg 78801,CannaPunch,$11.75 ,$21.99 ,ea.,6,Infused Edible,100mg drink,,,'9178801,1A4000312687491000078801,Yes,Current
359663,Blue Raz 100mg 72925,CannaPunch,$11.75 ,$21.99 ,ea.,3,Infused Edible,100mg drink,,,'9172925,1A4000312687491000072925,Yes,Current
363405,Blue Raz 100mg 80344,CannaPunch,$11.75 ,$21.99 ,ea.,12,Infused Edible,100mg drink,,,'9180344,1A4000312687491000080344,Yes,Current
336219,Blue Razz 100mg 29325,CannaPunch,$11.75 ,$21.99 ,ea.,...,Infused Edible,100mg drink,,,'9129325,1A4000312687491000029325,Yes,Current
337223,CBD Peach Pucks 32242,CannaPunch,$17.50 ,$34.99 ,ea.,...,Infused Edible,CBD Peach Gummie,,,'9132242,1A4000312687491000032242,Yes,Current
361356,CBD Peach Pucks 76178,CannaPunch,$17.50 ,$35.00 ,ea.,3,Infused Edible,cbd gummies,,,'9176178,1A4000312687491000076178,Yes,Current
337224,CBD Watermelon Pucks 32243,CannaPunch,$17.50 ,$34.99 ,ea.,...,Infused Edible,CBD Gummies,,,,1A4000312687491000032243,Yes,Current
361357,CBD Watermelon Pucks 76179,CannaPunch,$17.50 ,$35.99 ,ea.,4,Infused Edible,CBD gummies,,,'9176179,1A4000312687491000076179,Yes,Current
363409,Cherry Pucks 100mg 80346,CannaPunch,$10.00 ,$19.99 ,ea.,12,Infused Edible,100mg gummie,,,'9180346,1A4000312687491000080346,Yes,Current
336220,Golden Strawberry 29329,CannaPunch,$10.00 ,$19.99 ,ea.,...,Infused Edible,Golden Strawberry Pucks 100mg,,,,1A4000312687491000029329,Yes,Current
362657,Golden Strawberry Pucks 100mg 78802,CannaPunch,$10.00 ,$19.99 ,ea.,7,Infused Edible,100mg gummies,,,'9178802,1A4000312687491000078802,Yes,Current
363403,Grand Daddy Grape 100mg 80343,CannaPunch,$11.75 ,$21.99 ,ea.,12,Infused Edible,100mg drink,,,'9180343,1A4000312687491000080343,Yes,Current
361355,Peach Pucks 100mg 76177,CannaPunch,$10.00 ,$19.99 ,ea.,5,Infused Edible,100mg gummies,,,'9176177,1A4000312687491000076177,Yes,Current
359640,Pine Mango 100mg 72921,CannaPunch,$11.75 ,$21.99 ,ea.,1,Infused Edible,100mg drinks,,,'9172921,1A4000312687491000072921,Yes,Current
363400,Pine mango 100mg 80341,CannaPunch,$11.75 ,$21.99 ,ea.,12,Infused Edible,100mg drink,,,'9180341,1A4000312687491000080341,Yes,Current
362659,Sour Berry Cherry 100mg 78804,CannaPunch,$17.50 ,$35.99 ,ea.,2,Infused Edible,100mg gummies,,,'9178804,1A4000312687491000078804,Yes,Current
362660,Stroopwaffles 100mg 78805,CannaPunch,$10.00 ,$19.99 ,ea.,20,Infused Edible,100mg cookies,,,'9178805,1A4000312687491000078805,Yes,Current
362655,Watermelon Nectar 100mg 78800,CannaPunch,$11.75 ,$21.99 ,ea.,10,Infused Edible,100mg drink,,,'9178800,1A4000312687491000078800,Yes,Current
363402,Watermelon Nectar 100mg 80342,CannaPunch,$11.75 ,$21.99 ,ea.,12,Infused Edible,100mg drink,,,'9180342,1A4000312687491000080342,Yes,Current
363407,Watermelon Pucks 100mg 80345,CannaPunch,$10.00 ,$19.99 ,ea.,12,Infused Edible,100mg gummie,,,'9180345,1A4000312687491000080345,Yes,Current
357234,Boysenberry 100mg 47895,Canyon Cultivation,$9.75 ,$19.99 ,ea.,9,Infused Edible,100mg candy,,,AA47895,1A40003126874AA000047895,Yes,Current
357224,Sour Watermelon 100mg 47897,Canyon Cultivation,$9.75 ,$19.99 ,ea.,8,Infused Edible,100mg candy,,,AA47897,1A40003126874AA000047897,Yes,Current
357230,Strawberry 100mg 47893,Canyon Cultivation,$9.75 ,$19.99 ,ea.,13,Infused Edible,100mg candy,,,AA47893,1A40003126874AA000047893,Yes,Current
350825,CBD 40mg Patch 7844,CC Brands,$15.00 ,$29.99 ,ea.,...,Infused Non Edible,CBD patch,,,4F7844,1A400031268754F000007844,Yes,Current
349956,Cheeba Chew CBD 80mg 23422,CC Brands,$24.00 ,$47.99 ,ea.,24,Infused Edible,80mg CBD Cheeba Chew,,,AF23422,1A40003126874AF000023422,Yes,Current
363125,Cheeba Chew Hybrid 80mg 36062,CC Brands,$10.00 ,$19.99 ,ea.,25,Infused Edible,hybrid chew,,,AF36062,1A40003126874AF000036062,Yes,Current
363126,Cheeba Chew Indica 80mg 36063,CC Brands,$10.00 ,$19.99 ,ea.,23,Infused Edible,80mg edible,,,AF36063,1A40003126874AF000036063,Yes,Current
363127,Cheeba Chew Taffy 100mg Indica 36064,CC Brands,$11.00 ,$21.99 ,ea.,19,Infused Edible,100mg cheeba chew taffy,,,AF36064,1A40003126874AF000036064,Yes,Current
