"ITEM_NO","DESCR","DESCR_UPR","LONG_DESCR","LONG_DESCR_UPR","SHORT_DESCR","ADDL_DESCR_1","ADDL_DESCR_2","ADDL_DESCR_3","ITEM_TYP","CATEG_COD","SUBCAT_COD","ACCT_COD","LBL_COD","ATTR_COD_1","ATTR_COD_2","ATTR_COD_3","ATTR_COD_4","ATTR_COD_5","ATTR_COD_6","TRK_METH","STAT","STAT_DAT","IS_TXBL","TAX_CATEG_COD","QTY_DECS","PRC_DECS","STK_UNIT","ITEM_VEND_NO","WEIGHT","TARE_COD","CUBE","IS_WEIGHED","ALT_1_UNIT","ALT_1_NUMER","ALT_1_DENOM","ALT_1_WEIGHT","ALT_1_CUBE","ALT_1_PRC_1","ALT_2_UNIT","ALT_2_NUMER","ALT_2_DENOM","ALT_2_WEIGHT","ALT_2_CUBE","ALT_2_PRC_1","ALT_3_UNIT","ALT_3_NUMER","ALT_3_DENOM","ALT_3_WEIGHT","ALT_3_CUBE","ALT_3_PRC_1","ALT_4_UNIT","ALT_4_NUMER","ALT_4_DENOM","ALT_4_WEIGHT","ALT_4_CUBE","ALT_4_PRC_1","ALT_5_UNIT","ALT_5_NUMER","ALT_5_DENOM","ALT_5_WEIGHT","ALT_5_CUBE","ALT_5_PRC_1","PREF_UNIT","PROMPT_FOR_PRC","PROMPT_FOR_COST","PROMPT_FOR_DESCR","WARR_PRD_1","WARR_UNIT_1","WARR_PRD_2","WARR_UNIT_2","SER_NO_REQ_FOR_SAL","SER_PROMPT_COD_1","SER_PROMPT_COD_2","SER_PROMPT_COD_3","PROF_ALPHA_1","PROF_ALPHA_2","PROF_ALPHA_3","PROF_ALPHA_4","PROF_ALPHA_5","PROF_COD_1","PROF_COD_2","PROF_COD_3","PROF_COD_4","PROF_COD_5","PROF_DAT_1","PROF_DAT_2","PROF_DAT_3","PROF_DAT_4","PROF_DAT_5","PROF_NO_1","PROF_NO_2","PROF_NO_3","PROF_NO_4","PROF_NO_5","GRID_DIM_1_TAG","GRID_DIM_2_TAG","GRID_DIM_3_TAG","GRID_DIM_1_TAG_UPR","GRID_DIM_2_TAG_UPR","GRID_DIM_3_TAG_UPR","GRID_ENT_1","GRID_ENT_2","GRID_ENT_3","CELL_BARCOD_PRE","NXT_CELL_BARCOD_NO","PRC_1","BARCOD","PS_PROMPT_COD_1","PS_PROMPT_COD_2","PS_PROMPT_COD_3","IS_ECOMM_ITEM","ECOMM_LST_PUB_DT","ECOMM_LST_PUB_STAT","ECOMM_ON_SPECL_UNTIL","ECOMM_IMG_FILE","ECOMM_TXBL_1","ECOMM_TXBL_2","ECOMM_TXBL_3","URL","ECOMM_NEW","ECOMM_NEW_UNTIL","ECOMM_ON_SPECL","ECOMM_CHRG_FRT","ECOMM_FRT_AMT","VEND_ITEM_NO","LST_COST","DFLT_COST_OF_SLS_PCT","REG_PRC","ALT_1_REG_PRC","ALT_2_REG_PRC","ALT_3_REG_PRC","ALT_4_REG_PRC","ALT_5_REG_PRC","ITEM_IS_MISC","CATEG_SUBCAT","PREF_UNIT_NAM","LST_RECV_DAT","PREF_UNIT_NUMER","PREF_UNIT_DENOM","ECOMM_ITEM_IS_DISCNTBL","IS_FOOD_STMP_ITEM","PROMPT_FOR_UNIT","PROMPT_FOR_CUSTOM_FLDS","MIX_MATCH_COD","PREF_UNIT_WEIGHT","PREF_UNIT_CUBE","PREF_UNIT_REG_PRC","PREF_UNIT_PRC_1","IS_ADM_TKT","DIM_COUNT","DIM_COD","DIM_COD_LABEL","IS_BOM_PAR","IS_KIT_PAR","COPY_FROM_ITEM_NO","BARCOD_3_OF_9","PS_LIN_CUST_FLD_FRM_ID","IS_DISCNTBL","ECOMM_DISC_ON_SAL","ECOMM_LST_CHNG_UTC_DT","ECOMM_NXT_PUB_TYP","ECOMM_PUB_STAT","RS_UTC_DT","RS_STAT","LST_MAINT_DT","LST_MAINT_USR_ID","LST_LCK_DT","ROW_TS"
"I-000015","Punch Card Discount","PUNCH CARD DISCOUNT","","","","","","","D","DISCOUNT","","RETAIL","","HARD","","","","","","N","A","","Y","DISCOUNT",0,2,"EACH","",,"",,"N","",,,,,,"",,,,,,"",,,,,,"",,,,,,"",,,,,,"0","Y","N","N",,"D",,"D","N","","","","","","","","","NO","","","","","","","","","",0,,,,,"","","","","","",,,,"",,0,"","","","","N","","!","","","N","N","N","","N","","N","Y",,"",0,,,,,,,,"Y","DISCOUNT/","EACH","",1,1,"N","N","N","N","",,,,0,"N",0,"","","N","N","","",,"N","Y","","",,"5/19/2016 09:52:06.893 PM",0,"5/19/2016 03:52:12.000 PM","RCS","","0x000000000002F89F"
"I-000018","Pipe Large $15","PIPE LARGE $15","Pipe Large $15","PIPE LARGE $15","Pipe Large $15","","","","I","NON THC","PIPES","RETAIL","","REC","","","","","","N","A","","Y","NONMJ",0,2,"EACH","",,"",,"N","",,,,,,"",,,,,,"",,,,,,"",,,,,,"",,,,,,"0","N","N","N",,"D",,"D","N","","","","","","","","","NO","","","","","","","","","",0,,,,,"","","","","","",,,,"",,15,"10000223","","","","N","","!","","","N","N","N","","N","","N","Y",,"",3.5,,,,,,,,"N","NON THC/PIPES","EACH","6/12/2017 12:00:00.000 AM",1,1,"Y","N","N","N","",,,,15,"N",0,"","","N","N","","*10000223*",,"Y","Y","","",,"6/12/2017 07:16:28.607 PM",0,"7/12/2016 11:40:40.000 PM","JBARKER","","0x00000000001F79F2"
"I-000019","Fumed Pipe $20","FUMED PIPE $20","Fumed Pipe $20","FUMED PIPE $20","Fumed Pipe $20","","","","I","NON THC","PIPES","RETAIL","","REC","","","","","","N","A","","Y","NONMJ",0,2,"EACH","",,"",,"N","",,,,,,"",,,,,,"",,,,,,"",,,,,,"",,,,,,"0","N","N","N",,"D",,"D","N","","","","","","","","","NO","","","","","","","","","",0,,,,,"","","","","","",,,,"",,20,"","","","","N","","!","","","N","N","N","","N","","N","Y",,"",9,,,,,,,,"N","NON THC/PIPES","EACH","7/28/2017 12:00:00.000 AM",1,1,"Y","N","N","N","",,,,20,"N",0,"","","N","N","","",,"Y","Y","","",,"7/28/2017 08:31:59.173 PM",0,"7/12/2016 11:41:10.000 PM","JBARKER","","0x00000000002487CE"
"I-000020","Bubbler Straw Titanium","BUBBLER STRAW TITANIUM","Bubbler Straw Titanium","BUBBLER STRAW TITANIUM","Bubbler Straw T","","","","I","NON THC","PIPES","RETAIL","","REC","","","","","","N","A","","Y","NONMJ",0,2,"EACH","",,"",,"N","",,,,,,"",,,,,,"",,,,,,"",,,,,,"",,,,,,"0","N","N","N",,"D",,"D","N","","","","","","","","","NO","","","","","","","","","",0,,,,,"","","","","","",,,,"",,70,"","","","","N","","!","","","N","N","N","","N","","N","Y",,"",0,,,,,,,,"N","NON THC/PIPES","EACH","",1,1,"Y","N","N","N","",,,,70,"N",0,"","","N","N","","",,"Y","Y","","",,"7/13/2016 05:41:33.560 AM",0,"7/12/2016 11:41:36.000 PM","JBARKER","","0x00000000000338FA"
"I-000021","Wood Pipe/Lid $30","WOOD PIPE/LID $30","Wood Pipe/Lid $30","WOOD PIPE/LID $30","Wood Pipe/Lid $","","","","I","NON THC","PIPES","RETAIL","","REC","","","","","","N","A","","Y","NONMJ",0,2,"EACH","",,"",,"N","",,,,,,"",,,,,,"",,,,,,"",,,,,,"",,,,,,"0","N","N","N",,"D",,"D","N","","","","","","","","","NO","","","","","","","","","",0,,,,,"","","","","","",,,,"",,30,"","","","","N","","!","","","N","N","N","","N","","N","Y",,"",0,,,,,,,,"N","NON THC/PIPES","EACH","",1,1,"Y","N","N","N","",,,,30,"N",0,"","","N","N","","",,"Y","Y","","",,"7/13/2016 05:41:56.603 AM",0,"7/12/2016 11:41:59.000 PM","JBARKER","","0x00000000000338FB"
"I-000022","Pipe $30","PIPE $30","Pipe $30","PIPE $30","Pipe $30","","","","I","NON THC","PIPES","RETAIL","","REC","","","","","","N","A","","Y","NONMJ",0,2,"EACH","",,"",,"N","",,,,,,"",,,,,,"",,,,,,"",,,,,,"",,,,,,"0","N","N","N",,"D",,"D","N","","","","","","","","","NO","","","","","","","","","",0,,,,,"","","","","","",,,,"",,30,"","","","","N","","!","","","N","N","N","","N","","N","Y",,"",15,,,,,,,,"N","NON THC/PIPES","EACH","8/28/2017 12:00:00.000 AM",1,1,"Y","N","N","N","",,,,30,"N",0,"","","N","N","","",,"Y","Y","","",,"8/28/2017 10:01:03.277 PM",0,"7/12/2016 11:42:14.000 PM","JBARKER","","0x0000000000281EA3"
"I-000023","Local Pipe $40","LOCAL PIPE $40","","","Local Pipe $40","","","","I","NON THC","PIPES","RETAIL","","REC","","","","","","N","A","","Y","NONMJ",0,2,"EACH","",,"",,"N","",,,,,,"",,,,,,"",,,,,,"",,,,,,"",,,,,,"0","N","N","N",,"D",,"D","N","","","","","","","","","NO","","","","","","","","","",0,,,,,"","","","","","",,,,"",,40,"","","","","N","","!","","","N","N","N","","N","","N","Y",,"",20,,,,,,,,"N","NON THC/PIPES","EACH","10/6/2017 12:00:00.000 AM",1,1,"Y","N","N","N","",,,,40,"N",0,"","","N","N","","",,"Y","Y","","",,"10/6/2017 03:59:37.563 PM",0,"7/12/2016 11:42:35.000 PM","JBARKER","","0x00000000002C2DFD"
"I-000025","Sherlock Etched $30","SHERLOCK ETCHED $30","Sherlock Etched $30","SHERLOCK ETCHED $30","Sherlock Etched","","","","I","NON THC","PIPES","RETAIL","","REC","","","","","","N","A","","Y","NONMJ",0,2,"EACH","",,"",,"N","",,,,,,"",,,,,,"",,,,,,"",,,,,,"",,,,,,"0","N","N","N",,"D",,"D","N","","","","","","","","","NO","","","","","","","","","",0,,,,,"","","","","","",,,,"",,30,"","","","","N","","!","","","N","N","N","","N","","N","Y",,"",0,,,,,,,,"N","NON THC/PIPES","EACH","",1,1,"Y","N","N","N","",,,,30,"N",0,"","","N","N","","",,"Y","Y","","",,"7/13/2016 05:42:56.470 AM",0,"7/12/2016 11:42:59.000 PM","JBARKER","","0x00000000000338FE"
"I-000026","Small Pipe $25","SMALL PIPE $25","Small Pipe $25","SMALL PIPE $25","Small Pipe $25","","","","I","NON THC","PIPES","RETAIL","","REC","","","","","","N","A","","Y","NONMJ",0,2,"EACH","",,"",,"N","",,,,,,"",,,,,,"",,,,,,"",,,,,,"",,,,,,"0","N","N","N",,"D",,"D","N","","","","","","","","","NO","","","","","","","","","",0,,,,,"","","","","","",,,,"",,25,"","","","","N","","!","","","N","N","N","","N","","N","Y",,"",10,,,,,,,,"N","NON THC/PIPES","EACH","8/19/2017 12:00:00.000 AM",1,1,"Y","N","N","N","",,,,25,"N",0,"","","N","N","","",,"Y","Y","","",,"8/19/2017 02:56:53.950 PM",0,"7/12/2016 11:43:19.000 PM","JBARKER","","0x000000000026EC17"
"I-000027","Sanstone Pipe $30","SANSTONE PIPE $30","Sanstone Pipe $30","SANSTONE PIPE $30","Sanstone Pipe $","","","","I","NON THC","PIPES","RETAIL","","REC","","","","","","N","A","","Y","NONMJ",0,2,"EACH","",,"",,"N","",,,,,,"",,,,,,"",,,,,,"",,,,,,"",,,,,,"0","N","N","N",,"D",,"D","N","","","","","","","","","NO","","","","","","","","","",0,,,,,"","","","","","",,,,"",,30,"","","","","N","","!","","","N","N","N","","N","","N","Y",,"",0,,,,,,,,"N","NON THC/PIPES","EACH","",1,1,"Y","N","N","N","",,,,30,"N",0,"","","N","N","","",,"Y","Y","","",,"7/13/2016 05:43:34.530 AM",0,"7/12/2016 11:43:37.000 PM","JBARKER","","0x0000000000033901"
